No,Kode,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency,Tanggal,source_file,Volume_MA5,Spike
23,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-4130000000E512-----------X,50,0,01 Mar 2024,0,0,0,50,0,0,0,0,75.9,50,13491900,0,0,6449463636,6449463636,1663316672,0,0,0,0,0,2024-03-01,Stock Summary-20240301.xlsx,,NO
23,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-4130000000E512-----------X,50,0,04 Mar 2024,0,50,50,50,0,100,5000,1,75.9,50,12461100,0,0,6449463636,6449463636,1663316672,0,0,0,0,0,2024-03-04,Stock Summary-20240304.xlsx,,NO
23,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-4130000000E512-----------X,50,0,05 Mar 2024,0,50,50,50,0,100,5000,1,75.9,50,12308800,0,0,6449463636,6449463636,1663316672,0,0,2815528200,14077641000,22,2024-03-05,Stock Summary-20240305.xlsx,,NO
23,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-4130000000E512-----------X,50,0,06 Mar 2024,0,50,50,50,0,200,10000,1,75.9,50,12452400,0,0,6449463636,6449463636,1663316672,0,0,1970654800,9853274000,12,2024-03-06,Stock Summary-20240306.xlsx,,NO
23,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-4130000000E512-----------X,50,0,07 Mar 2024,0,50,50,50,0,10500,525000,3,75.9,50,19264400,0,0,6449463636,6449463636,1663316672,0,0,0,0,0,2024-03-07,Stock Summary-20240307.xlsx,2180.0,YES
23,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-4130000000E512-----------X,50,0,08 Mar 2024,0,50,50,50,0,200,10000,2,75.9,50,14195300,0,0,6449463636,6449463636,1663316672,0,0,0,0,0,2024-03-08,Stock Summary-20240308.xlsx,2220.0,NO
23,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-4130000000E512-----------X,50,0,13 Mar 2024,0,0,0,50,0,0,0,0,75.9,50,13116500,0,0,6449463636,6449463636,1663316672,0,0,0,0,0,2024-03-13,Stock Summary-20240313.xlsx,2200.0,NO
23,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-4130000000E512-----------X,50,0,14 Mar 2024,0,50,50,50,0,100,5000,1,75.9,50,18552900,0,0,6449463636,6449463636,1663316672,0,0,0,0,0,2024-03-14,Stock Summary-20240314.xlsx,2200.0,NO
23,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-4130000000E512-----------X,50,0,15 Mar 2024,0,0,0,50,0,0,0,0,75.9,50,13020600,0,0,6449463636,6449463636,1663316672,0,0,0,0,0,2024-03-15,Stock Summary-20240315.xlsx,2160.0,NO
23,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-4130000000E512-----------X,50,0,18 Mar 2024,0,0,0,50,0,0,0,0,75.9,50,12462200,0,0,6449463636,6449463636,1663316672,0,0,0,0,0,2024-03-18,Stock Summary-20240318.xlsx,60.0,NO
